"id","name","category","price","location","imageURL","imageURL2","description","sellerId"
"14","Atari","consola","185.0","tui","d86e98de-c290-4fa6-b21b-bd45e3c03734-0f2d176d0382ba0021e9e02650a52a55.jpg","4d005eb0-b60f-4858-9adc-175fb054e5cb-aabd8ee8d3e1074de2980a15fa9c90f3.jpg"," CONSOLA ATARI 2600 SIN USO 1991 EN MUY BUEN ESTADO COMPLETA","8"
"15","cartucho Pac-man Atari","videojuegos","15.9","Tui","6a8e1924-8d57-47a4-9a4c-82811d671f7f-2069fe6c3eb1083e9f8cf02d873ea24f.jpg","bacdb709-fe8b-45d5-9227-fa1df9e44374-d22cb782a9c579f4e11ae2d22d620921.jpg","Juego del pac-man.","8"
"16","consola Nintendo GameCube","consola","180.0","Ourense","8eeff0dd-3370-4973-90a2-048c9589af15-ef5bbf2b2d29f9a20948186c3368a4d5.jpg","fc743eec-eaac-4f86-bfb5-6a931650192a-ef5bbf2b2d29f9a20948186c3368a4d5.jpg","GameCube Purple Consola Indigo + Controlador/es + Paquete de cables","8"
"17","SIEMENS SCHATULLE H42","radio","620.0","Santiago de Compostela","5fe2bbfd-1f76-49dc-ac7d-44084390599c-SkAssa.webp","a3899a62-addf-4959-a899-de491591b557-bI677Q.webp","Radio antigua de válvulas fabricada por SIEMENS en Alemania en 1954-55. Se trata del modelo SCHATULLE H42, un modelo que se caracteriza por llevar unas puertas frontales que dan paso a la radio.\r\n\r\nS﻿e trata de una de las radios más originales de los 50 y tiene un mueble precioso en madera de nogal.","5"
"18","NonDmende Transita","radio","45.0","Santiago de Compostela","5ff1d2a7-befb-4634-afb3-cbf9f3080bca-7976b549c6f0e28af817abaaee608aa9.jpg","6455bae1-f96d-437a-a6f7-638381d7ef9a-7976b549c6f0e28af817abaaee608aa9.jpg","Modelo del año 1959 , de lso primeros aparatos transportables","5"
"19","Nintendo Nes","consola","220.0","Santiago de Compostela","d355337c-aa84-460e-a6fd-6097c99b1b78-6c33cbb99b7f68358588b2c19df9d4ef.jpg","1707654433354-0f23b42b78bd9ce166036495145ed323.jpg","Consola Nes de Nintendo incluye juego Duck Hunt y periferico ","5"
"20","Nokia 3310","movil","19.0","Ourense","d4be6144-d2d3-455d-a26b-bbc1336376d5-6a2f06b7ea44bfd54b3fd7ca3278cedd.jpg","2bff8dac-c582-47b0-9d75-dd87c5245b27-ce392cdea5200d70a5075aed1e5cc468.jpg","Incluye caja,","9"
"21","Sony Ericsson T10 ","movil","35.0","Ourense","a6f4755f-56f9-47cf-ae27-f3e3b532634f-650_1200.jpg","d741f8d1-b100-41b5-9f2d-10cfc4f7d464-97.webp","Poco uso Sigue funcional incluye cargador","9"
"22","Tekken 3","videojuegos","20.0","Ourense","ed23c29a-5fb9-4ca6-9de0-3f8e53513ef0-668467d9915483746084e23ea095f927.jpg","ba677edb-9099-4189-b910-5c3e7846a5b9-$_12.jpg","Juego del Tekken 3","9"
"23","Olivas","consola","20.0","lugo","94b11c80-c162-4f83-901f-3584c29fe839-Captura de pantalla 2024-02-10 122428.png","b9aff708-fc70-44c4-8d70-bac5cae432bd-Captura de pantalla 2024-02-10 122428.png","jgkkkkkkkkkkkkkkk","8"
